drop_rate,power_bonus_per_stage,catch_cap,b1_mean,b1_pass,b1_margin,b2_mean_sec,b2_pass,b2_margin,b2_sample_n,b3_mean_frac,b3_pass,b3_margin
0.05,0.3,0.999,8.7259375,True,0.6814843750000001,191.9368753381894,False,2.9183166756850514,1922,0.279003125,True,-0.30249218749999995
0.05,0.5,0.995,12.7640625,False,1.691015625,184.39132249848396,False,2.717101933292906,9894,0.2784048611111111,True,-0.3039878472222223
0.05,0.5,0.999,8.5721875,True,0.643046875,185.33527874625818,False,2.7422740999002184,1893,0.2794288194444444,True,-0.301427951388889
0.05,0.8,0.995,12.74,False,1.685,186.054387974747,False,2.7614503459932536,9979,0.2782204861111111,True,-0.30444878472222225
0.05,0.8,0.999,8.6875,True,0.671875,188.99719716024345,False,2.8399252576064917,1972,0.27887569444444443,True,-0.30281076388888895
0.1,0.1,0.995,31.43375,False,6.3584375,104.78716040123568,True,0.594324277366285,27947,0.46474895833333335,False,0.16187239583333324
0.1,0.1,0.999,27.2034375,False,5.300859375,98.06205027300304,True,0.4149880072800811,19780,0.46315208333333335,False,0.15788020833333327
0.1,0.2,0.995,11.085,False,1.2712500000000002,116.57385921680994,True,0.9086362457815989,12564,0.4713996527777778,False,0.17849913194444444
0.1,0.2,0.999,8.3334375,True,0.5833593750000001,106.2198093816319,True,0.632528250176851,4555,0.46768645833333333,False,0.16921614583333322
0.1,0.3,0.995,7.62875,True,0.40718750000000004,118.82542201177205,True,0.9686779203139216,10137,0.4672267361111111,False,0.16806684027777763
0.1,0.3,0.999,4.4309375,True,0.39226562500000006,114.56205821417224,True,0.8549882190445933,2098,0.46800729166666666,False,0.17001822916666653
0.1,0.5,0.995,7.5328125,True,0.3832031250000001,120.00921948225248,False,1.0002458528600662,9992,0.46700138888888887,False,0.16750347222222217
0.1,0.5,0.999,4.5403125,True,0.36492187500000006,113.03848628580573,True,0.814359634288153,2083,0.46630069444444444,False,0.16575173611111094
0.1,0.8,0.995,7.7184375,True,0.42960937500000007,120.97354600888012,False,1.0259612269034701,10135,0.47064826388888886,False,0.17662065972222218
0.1,0.8,0.999,4.55625,True,0.3609374999999999,113.11386718877469,True,0.8163697917006585,2043,0.46896180555555556,False,0.17240451388888878
0.2,0.1,0.995,10.653125,False,1.1632812499999998,59.20065673058522,True,0.6213158205177274,17418,0.689259375,False,0.7231484374999999
0.2,0.1,0.999,7.9403125,True,0.485078125,51.4759122344482,True,0.8273090070813814,9179,0.6911298611111111,False,0.7278246527777776
0.2,0.2,0.995,6.3775,True,0.0943750000000001,64.18672047226043,True,0.4883541207397217,11632,0.6893420138888889,False,0.7233550347222222
0.2,0.2,0.999,3.52,True,0.62,59.25096163652535,True,0.619974356359324,3373,0.6911548611111111,False,0.7278871527777777
0.2,0.3,0.995,5.2278125,True,0.19304687500000006,67.79240962891257,True,0.3922024098956652,10330,0.6904569444444445,False,0.7261423611111111
0.2,0.3,0.999,2.399375,True,0.90015625,63.867132938076416,True,0.4968764549846289,2024,0.6897652777777777,False,0.7244131944444443
0.2,0.5,0.995,5.3675,True,0.15812500000000007,65.77752636552637,True,0.4459326302526303,10582,0.6889989583333334,False,0.7224973958333334
0.2,0.5,0.999,2.458125,True,0.88546875,62.04897524911604,True,0.5453606600235722,2074,0.6934357638888888,False,0.733589409722222
0.2,0.8,0.995,5.2503125,True,0.18742187500000007,66.36032428797725,True,0.4303913523206068,10311,0.69191875,False,0.7297968749999999
0.2,0.8,0.999,2.4746875,True,0.881328125,63.92171450528338,True,0.4954209465257765,2082,0.6916201388888888,False,0.7290503472222221
